x,y,F,split
-0.059001351980610607,0.043905395026925254,nan,train
0.048375887571865998,0.081911566349694681,nan,heldout
0.0069347812439436891,0.048767359432226078,nan,train
-0.073635352732450352,0.081933428681343554,nan,heldout
-0.046537086795261057,0.0057232929385305775,nan,train
0.070288825033250138,0.017219455685682995,nan,heldout
0.018594095879444005,0.094871986987323645,nan,train
0.040505690929658972,-0.072469345585098419,nan,heldout
-0.065300080640102509,0.066983452579747235,nan,train
0.047015021635906963,0.010691451413345444,nan,heldout
-0.06705046517052822,0.083123323649344674,nan,train
0.080186393657050659,0.084724803914137281,nan,heldout
-0.080540036292417183,0.044088750173216035,nan,train
0.067680307477086199,0.01688796930250458,nan,heldout
0.02468404931265511,0.002358810300247538,nan,train
0.049351694766596801,0.057025890494825759,nan,heldout
0.031274139313282316,0.012496946635118557,nan,train
0.020752519981102058,0.087644661014297687,nan,heldout
-0.069647574282726318,-0.030453304794068072,nan,train
-0.055872675766643592,-0.023205244113113754,nan,heldout
-0.093909623070223533,0.049201885322069774,nan,train
-0.05432719301503755,0.089715314182456374,nan,heldout
0.04621782361028879,0.035724991226878736,nan,train
-0.050699830756810574,-0.0144450000115121,nan,heldout
-0.086520269631355784,0.033044551816596449,nan,train
-0.066168903177758767,-0.098916944731630957,nan,heldout
0.080730577321932007,0.0072468410152937372,nan,train
0.05021216820174821,0.063033747971149315,nan,heldout
0.0095085519005635236,0.095149533028541747,nan,train
-0.00016736372967505187,-0.065969529509499969,nan,heldout
-0.031569672428290542,-0.0022129674751361294,nan,train
-0.0065340888250595697,-0.017636201857080459,nan,heldout
-0.05569489206595233,0.0084432013327602872,nan,train
-0.076435147410262541,0.035575415534666768,nan,heldout
-0.097851553150103687,0.031160320485323911,nan,train
0.0065866879883509592,-0.095810220539349067,nan,heldout
-0.084076455778839584,-0.025390025231965985,nan,train
-0.057117580040230577,-0.070619566212845666,nan,heldout
-0.067068502048327358,-0.0016745850713480116,nan,train
-0.088804899419749672,0.030449286535463329,nan,heldout
-0.041947682116438359,-0.018834538834397854,nan,train
-0.066465981117392978,0.098043979605546547,nan,heldout
0.029934984095848407,0.03881179926859999,nan,train
-0.017680098879288075,-0.059357573486740471,nan,heldout
0.03275038363117249,-0.018352890840962477,nan,train
-0.0088940610969397323,-0.066324629038800098,nan,heldout
-0.016548219083269356,-0.074304049454063548,nan,train
-0.093380700798354282,0.061906905722103424,nan,heldout
0.09719814608988836,0.055940724597034142,nan,train
0.056745870390164502,-0.0071574261647428866,nan,heldout
-0.03766946299747196,-0.069522417096438097,nan,train
0.046513858474631388,-0.06226743525487162,nan,heldout
0.046870274666758555,-0.062160211832018676,nan,train
-0.085990237119892871,0.068071418960465563,nan,heldout
0.088108418751372236,-0.053118180811730122,nan,train
0.031008983023313719,-0.022918568982695377,nan,heldout
0.037486662306599985,0.046935617490193531,nan,train
0.023503307052437462,0.09552910528168275,nan,heldout
0.094717601970443502,-0.071795960783606422,nan,train
-0.046882673580886693,-0.039614008587307306,nan,heldout
-0.0066052039393874606,-0.079698427940956607,nan,train
-2.0660735936051112e-05,0.045678812841908667,nan,heldout
0.044166591049468788,0.0086231135015500063,nan,train
0.084098384038095164,-0.0050461603047513796,nan,heldout
-0.082323398198098405,-0.027043973602502259,nan,train
